"","ID","Case.Number","Date","Block","IUCR","Primary.Type","Description","Location.Description","Arrest","Domestic","Beat","District","Ward","Community.Area","FBI.Code","X.Coordinate","Y.Coordinate","Year","Updated.On","Latitude","Longitude","Location"
"82614",10819505,"JA119988","01/17/2017 11:15:00 PM","016XX W 61ST ST","031A","ROBBERY","ARMED: HANDGUN","SIDEWALK","false","false",714,7,15,67,"03",1166235,1864253,2017,"02/14/2017 03:49:42 PM",41.783085216,-87.666072958,"(41.783085216, -87.666072958)"
"82051",10820636,"JA121150","01/18/2017 10:52:00 PM","065XX S DR MARTIN LUTHER KING JR DR","0870","THEFT","POCKET-PICKING","CTA BUS","false","false",312,3,20,69,"06",1180043,1861837,2017,"02/14/2017 03:49:42 PM",41.776150283,-87.615522623,"(41.776150283, -87.615522623)"
"42174",10885935,"JA194904","03/20/2017 08:00:00 PM","004XX W BLACKHAWK ST","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false",1821,18,27,8,"14",1173203,1910280,2017,"03/27/2017 03:52:22 PM",41.909235797,-87.63916207,"(41.909235797, -87.63916207)"
"44973",10884578,"JA194521","03/11/2017 10:00:00 AM","016XX W 33RD ST","0610","BURGLARY","FORCIBLE ENTRY","RESIDENCE","false","false",912,9,11,59,"05",1165976,1882866,2017,"03/23/2017 03:51:37 PM",41.834166922,-87.666493043,"(41.834166922, -87.666493043)"
"57321",10860994,"JA166926","02/23/2017 01:30:00 PM","009XX W CULLERTON ST","0890","THEFT","FROM BUILDING","RESIDENCE PORCH/HALLWAY","false","false",1235,12,25,31,"06",1170329,1890598,2017,"03/02/2017 03:54:20 PM",41.855290366,-87.650295233,"(41.855290366, -87.650295233)"
"42625",10883819,"JA193596","03/20/2017 11:30:00 AM","082XX S SOUTH SHORE DR","0460","BATTERY","SIMPLE","RESIDENTIAL YARD (FRONT/BACK)","false","false",424,4,7,46,"08B",1198580,1850996,2017,"03/27/2017 03:52:22 PM",41.745957196,-87.547931545,"(41.745957196, -87.547931545)"
"64233",10849190,"JA153435","02/14/2017 07:50:00 AM","053XX N VIRGINIA AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","false","true",2011,20,40,4,"08B",1155485,1935276,2017,"02/21/2017 04:01:48 PM",41.978201584,-87.703575441,"(41.978201584, -87.703575441)"
"87480",10812952,"JA112130","01/09/2017 08:00:00 AM","011XX N DEARBORN ST","1150","DECEPTIVE PRACTICE","CREDIT CARD FRAUD","OTHER","false","false",1824,18,42,8,"11",1175731,1907908,2017,"02/14/2017 03:49:42 PM",41.902670403,-87.629946882,"(41.902670403, -87.629946882)"
"60364",10855193,"JA160307","02/19/2017 08:00:00 PM","033XX W LE MOYNE ST","1320","CRIMINAL DAMAGE","TO VEHICLE","ALLEY","false","false",1422,14,26,23,"14",1153830,1909769,2017,"02/26/2017 03:57:03 PM",41.908241745,-87.710343499,"(41.908241745, -87.710343499)"
"82681",10820345,"JA120867","01/14/2017 02:00:00 PM","002XX W RANDOLPH ST","0890","THEFT","FROM BUILDING","SMALL RETAIL STORE","false","false",122,1,42,32,"06",1174601,1901265,2017,"02/14/2017 03:49:42 PM",41.884466997,-87.634296325,"(41.884466997, -87.634296325)"
"34290",10900136,"JA211781","03/31/2017 03:00:00 PM","013XX S MICHIGAN AVE","4387","OTHER OFFENSE","VIOLATE ORDER OF PROTECTION","RESIDENCE","false","true",132,1,2,33,"26",1177434,1894315,2017,"04/07/2017 03:54:07 PM",41.865332001,-87.624104181,"(41.865332001, -87.624104181)"
